Model,CV Mean,CV Std,Test Acc,Test Prec,Test Rec,Test F1
Logistic Regression,0.9729347329986308,0.005810125502918219,0.9825726141078838,0.9988597491448119,0.9776785714285714,0.988155668358714
Neural Network,0.7683247386981115,0.029623970976876628,0.7435684647302905,0.7435684647302905,1.0,0.8529271775345074
SVM (Polynomial),0.9769840891389696,0.0053221075558061446,0.9842323651452282,0.9988623435722411,0.9799107142857143,0.9892957746478873
